dato_Id,omrType,omrnr,iso_aar,iso_uke,fyllingsgrad,kapasitet_TWh,fylling_TWh,neste_Publiseringsdato,fyllingsgrad_forrige_uke,endring_fyllingsgrad
1995-09-03,EL,4,1995,35,0.94472134,21.079208,19.913979,0001-01-01T00:00:00,0.9368882,0.007833123
2020-11-15,EL,1,2020,46,0.97436064,6.0032635,5.849344,2020-11-25T13:00:00,0.99740624,-0.0230456
2011-08-28,EL,4,2011,34,0.7864988,21.079208,16.578772,0001-01-01T00:00:00,0.7871927,-0.0006939173
1998-07-05,EL,3,1998,27,0.7939694,8.920932,7.082947,0001-01-01T00:00:00,0.7338121,0.0601573
2011-03-27,EL,4,2011,12,0.3008203,21.079208,6.3410535,0001-01-01T00:00:00,0.31112152,-0.010301232
2017-11-05,EL,4,2017,44,0.7945196,21.079208,16.747847,0001-01-01T00:00:00,0.8040848,-0.009565175
2003-03-02,EL,1,2003,9,0.19504622,6.0032635,1.1709138,0001-01-01T00:00:00,0.22201422,-0.026968002
2000-11-26,EL,4,2000,47,0.86637145,21.079208,18.262426,0001-01-01T00:00:00,0.88496286,-0.018591404
2016-09-04,EL,1,2016,35,0.8909667,6.0032635,5.348708,0001-01-01T00:00:00,0.8819455,0.009021223
2023-08-13,EL,5,2023,32,0.8368494,17.390587,14.553301,2023-08-23T13:00:00,0.7767653,0.060084105
2011-09-04,EL,3,2011,35,0.881907,8.920932,7.867432,0001-01-01T00:00:00,0.87513494,0.0067720413
1995-03-26,EL,5,1995,12,0.2950076,17.390587,5.130355,0001-01-01T00:00:00,0.32007894,-0.025071353
2021-04-18,EL,5,2021,15,0.24668154,17.390587,4.2899365,2021-04-28T13:00:00,0.27682528,-0.030143738
2019-06-02,EL,1,2019,22,0.6599811,6.0032635,3.9620402,2019-06-12T13:00:00,0.6253978,0.03458327
2014-09-28,EL,4,2014,39,0.72253996,21.079208,15.230572,0001-01-01T00:00:00,0.7197548,0.0027851462
2019-10-27,EL,1,2019,43,0.8960575,6.0032635,5.3792696,2019-11-06T13:00:00,0.8827422,0.01331526
2016-05-22,EL,1,2016,20,0.3662124,6.0032635,2.1984694,0001-01-01T00:00:00,0.29387525,0.07233715
2023-11-19,EL,3,2023,46,0.7138878,8.920932,6.3685446,2023-11-29T13:00:00,0.76219815,-0.04831034
